type,difficulty,category,question,correct_answer,id
boolean,easy,General Knowledge,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,FALSE,CSV025
boolean,hard,General Knowledge,&quot;Number 16 Bus Shelter&quot; was a child&#039;s name that was approved by the New Zealand government.,TRUE,CSV026
boolean,easy,General Knowledge,The color orange is named after the fruit.,TRUE,CSV027
boolean,easy,General Knowledge,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,FALSE,CSV028
boolean,medium,General Knowledge,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",FALSE,CSV029
boolean,medium,General Knowledge,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,TRUE,CSV030
boolean,easy,General Knowledge,"When you cry in space, your tears stick to your face.",TRUE,CSV031
boolean,medium,General Knowledge,The British organisation CAMRA stands for The Campaign for Real Ale.,TRUE,CSV032
boolean,medium,General Knowledge,Cucumbers are usually more than 90% water.,TRUE,CSV033
boolean,medium,General Knowledge,The average woman is 5 inches / 13 centimeters shorter than the average man.,TRUE,CSV034
boolean,medium,General Knowledge,There are 86400 seconds in a day.,TRUE,CSV035
boolean,medium,General Knowledge,Haggis is traditionally ate on Burns Night.,TRUE,CSV036
boolean,easy,General Knowledge,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",TRUE,CSV037
boolean,medium,General Knowledge,The French word for &quot;glass&quot; is &quot;glace&quot;.,FALSE,CSV038
boolean,medium,General Knowledge,The US emergency hotline is 911 because of the September 11th terrorist attacks.,FALSE,CSV039
boolean,medium,General Knowledge,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,TRUE,CSV040
boolean,easy,General Knowledge,The Sun rises from the North.,FALSE,CSV041
boolean,easy,General Knowledge,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",TRUE,CSV042
boolean,hard,General Knowledge,NCIS stands for &quot;Navy Corps Investigative Service&quot;,FALSE,CSV043
boolean,easy,General Knowledge,"&quot;27 Club&quot; is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",TRUE,CSV044
boolean,easy,General Knowledge,Bulls are attracted to the color red.,FALSE,CSV045
boolean,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,TRUE,CSV046
boolean,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,FALSE,CSV047
boolean,easy,General Knowledge,Adolf Hitler was born in Australia. ,FALSE,CSV048
boolean,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,TRUE,CSV049
boolean,medium,General Knowledge,The French word to travel is &quot;Travail&quot;,FALSE,CSV050
boolean,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",FALSE,CSV051
boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",TRUE,CSV052
boolean,easy,Entertainment: Books,The &quot;Berenstein Bears&quot; is the correct spelling of the educational children&#039;s book series&#039; name.,FALSE,CSV053
boolean,easy,Entertainment: Books,&quot;Green Eggs and Ham&quot; consists of only 50 different words.,TRUE,CSV054
boolean,easy,Entertainment: Books,Stephen Chbosky wrote the book &#039;The Perks of Being A Wallflower&#039;.,TRUE,CSV055
boolean,easy,Entertainment: Books,"&quot;Elementary, my dear Watson&quot; is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",TRUE,CSV056
boolean,easy,Entertainment: Books,"Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel &quot;The Lord of The Rings&quot;.",FALSE,CSV057
boolean,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",TRUE,CSV058
boolean,easy,Entertainment: Books,The book 1984 was published in 1949.,TRUE,CSV059
boolean,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",TRUE,CSV060
boolean,medium,Entertainment: Film,The movie &quot;Tron&quot; received an Oscar nomination for Best Visual Effects.,FALSE,CSV061
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",FALSE,CSV062
boolean,easy,Entertainment: Film,"Samuel L. Jackson had the words, &#039;Bad Motherf*cker&#039; in-scripted on his lightsaber during the filming of Star Wars.",TRUE,CSV063
boolean,easy,Entertainment: Film,Brandon Routh plays the titular character in the movie &quot;John Wick&quot;.,FALSE,CSV064
boolean,hard,Entertainment: Film,The weapon Clint Eastwood uses in &quot;Dirty Harry&quot; was a .44 Automag.,FALSE,CSV065
boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,TRUE,CSV066
boolean,easy,Entertainment: Film,Leonardo DiCaprio won an Oscar for Best Actor in 2004&#039;s &quot;The Aviator&quot;.,FALSE,CSV067
boolean,easy,Entertainment: Film,The 2010 film &quot;The Social Network&quot; is a biographical drama film about MySpace founder Tom Anderson.,FALSE,CSV068
boolean,easy,Entertainment: Film,"In the original script of &quot;The Matrix&quot;, the machines used humans as additional computing power instead of batteries.",TRUE,CSV069
boolean,hard,Entertainment: Film,"&quot;Cube&quot;, &quot;Cube 2: Hypercube&quot; and &quot;Cube Zero&quot; were directed by the same person.",FALSE,CSV070
boolean,medium,Entertainment: Film,The color of the pills in the Matrix were Blue and Yellow.,FALSE,CSV071
boolean,easy,Entertainment: Film,Actor Tommy Chong served prison time.,TRUE,CSV072
boolean,easy,Entertainment: Film,"&quot;Minions&quot; was released on the June 10th, 2015.",FALSE,CSV073
boolean,easy,Entertainment: Film,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,TRUE,CSV074
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",TRUE,CSV075
boolean,easy,Entertainment: Film,In Alfred Hitchcock&#039;s film &#039;Psycho&#039; it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,TRUE,CSV076
boolean,medium,Entertainment: Film,The Xenomorph from the science fiction film &quot;Alien&quot; has acidic blood.,TRUE,CSV077
boolean,medium,Entertainment: Film,There aren&#039;t any live-action clones in &quot;Star Wars: Episode III - Revenge of the Sith&quot;.,TRUE,CSV078
boolean,easy,Entertainment: Film,"In the movie The Revenant, DiCaprio&#039;s character hunts down the killer of his son.",TRUE,CSV079
boolean,easy,Entertainment: Film,The movie &quot;The Nightmare before Christmas&quot; was all done with physical objects.,TRUE,CSV080
boolean,hard,Entertainment: Music,The song &quot;Mystery Train&quot; was released by artist &quot;Little Junior&#039;s Blue Flames&quot; in 1953.,TRUE,CSV081
boolean,easy,Entertainment: Music,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",TRUE,CSV082
boolean,easy,Entertainment: Music,American rapper Dr. Dre actually has a Ph.D. doctorate.,FALSE,CSV083
boolean,medium,Entertainment: Music,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",TRUE,CSV084
boolean,medium,Entertainment: Music,EDM label Monstercat signs tracks instead of artists.,TRUE,CSV085
boolean,hard,Entertainment: Music,"Pete Townshend&#039;s solo album, &quot;White City: A Novel&quot;, is set in the metropolitan area of Chicago.",FALSE,CSV086
boolean,easy,Entertainment: Music,"The alternative rock band, They Might Be Giants, released their album &#039;Flood&#039; in 1990. ",TRUE,CSV087
boolean,easy,Entertainment: Music,Scatman John&#039;s real name was John Paul Larkin.,TRUE,CSV088
boolean,easy,Entertainment: Music,Eurobeat is primarily an Italian genre of music.,TRUE,CSV089
boolean,medium,Entertainment: Music,Ashley Frangipane performs under the stage name Halsey.,TRUE,CSV090
boolean,medium,Entertainment: Music,&quot;The Division Bell&quot; is the final album of the progressive rock band Pink Floyd.,FALSE,CSV091
boolean,easy,Entertainment: Music,Stevie Wonder&#039;s real name is Stevland Hardaway Morris.,TRUE,CSV092
boolean,medium,Entertainment: Music,Arcade Fire&#039;s &#039;The Suburbs&#039; won the Album of the Year award in the 2011 Grammys.,TRUE,CSV093
boolean,hard,Entertainment: Music,The band STRFKR was also briefly known as Pyramiddd.,TRUE,CSV094
boolean,easy,Entertainment: Music,A Saxophone is a brass instrument.,FALSE,CSV095
boolean,medium,Entertainment: Music,Nick Mason is the only member to appear on every Pink Floyd album.,TRUE,CSV096
boolean,easy,Entertainment: Music,Muse is a British (English) rock band,TRUE,CSV097
boolean,medium,Entertainment: Music,Metallica collaborated with Rowan Atkinson&#039;s Mr Bean on a 1992 comic relief single.,FALSE,CSV098
boolean,medium,Entertainment: Music,Soulja Boy&#039;s &#039;Crank That&#039; won a Grammy for Best Rap Song in 2007.,FALSE,CSV099
boolean,easy,Entertainment: Music,Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,TRUE,CSV100
boolean,medium,Entertainment: Music,"Dave Grohl recorded the Foo Fighters&#039; debut, &quot;Foo Fighters,&quot; by himself.",TRUE,CSV101
boolean,hard,Entertainment: Music,The singer Billie Holiday was also known as &quot;Lady Day&quot;.,TRUE,CSV102
boolean,medium,Entertainment: Music,&quot;Neutral Milk Hotel&quot; is a real band.,TRUE,CSV103
boolean,medium,Entertainment: Music,The cover of The Beatles album &quot;Abbey Road&quot; featured a Volkswagen Beetle in the background.,TRUE,CSV104
boolean,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",TRUE,CSV105
boolean,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,TRUE,CSV106
boolean,easy,Entertainment: Music,The music video to The Buggle&#039;s &quot;Video Killed the Radio Star&quot; was the first music video to broadcast on MTV.,TRUE,CSV107
boolean,medium,Entertainment: Music,Pink Guy&#039;s debut album was &quot;Pink Season&quot;.,FALSE,CSV108
boolean,medium,Entertainment: Music,Green Day&#039;s album &#039;American Idiot&#039; is considered a &quot;punk rock opera.&quot;,TRUE,CSV109
boolean,medium,Entertainment: Music,"For his performance at ComplexCon 2016 in Long Beach, California, Skrillex revived his &quot;Mothership&quot; set piece for one night only.",TRUE,CSV110
boolean,easy,Entertainment: Video Games,Big the Cat is a playable character in &quot;Sonic Generations&quot;.,FALSE,CSV111
boolean,medium,Entertainment: Video Games,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,TRUE,CSV112
boolean,easy,Entertainment: Video Games,"In &quot;Super Mario Bros.&quot;, the clouds and bushes have the same artwork and are just different colors.",TRUE,CSV113
boolean,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,TRUE,CSV114
boolean,medium,Entertainment: Video Games,"In Rocket League, you can play Basketball.",TRUE,CSV115
boolean,easy,Entertainment: Video Games,"In Terraria, you can craft the Cell Phone pre-hardmode.",TRUE,CSV116
boolean,easy,Entertainment: Video Games,Nintendo&#039;s Luigi was originally just called Green Mario?,FALSE,CSV117
boolean,easy,Entertainment: Video Games,The game &quot;Jetpack Joyride&quot; was created by &quot;Redbrick Studios&quot;.,FALSE,CSV118
boolean,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",TRUE,CSV119
boolean,medium,Entertainment: Video Games,Amazon acquired Twitch in August 2014 for $970 million dollars.,TRUE,CSV120
boolean,hard,Entertainment: Video Games,"In &quot;Minecraft&quot;, gold tools are faster than diamond tools.",TRUE,CSV121
boolean,easy,Entertainment: Video Games,&quot;Half-Life 2&quot; runs on the Source Engine.,TRUE,CSV122
boolean,medium,Entertainment: Video Games,"In Monster Hunter Generations, guild style is a type of hunting style.",TRUE,CSV123
boolean,easy,Entertainment: Video Games,"In RuneScape, one must complete the &quot;Dragon Slayer&quot; quest before equipping Rune Platelegs.",FALSE,CSV124
boolean,medium,Entertainment: Video Games,In the game &quot;Until Dawn&quot; Emily is the only playable character who can be killed by another playable character directly.,TRUE,CSV125
boolean,easy,Entertainment: Video Games,The ghosts in &quot;Pac-Man&quot; and &quot;Ms. Pac-Man&quot; have completely different behavior.,TRUE,CSV126
boolean,medium,Entertainment: Video Games,"In &quot;League of Legends&quot;, there exists four different types of Dragon.",FALSE,CSV127
boolean,medium,Entertainment: Video Games,"TF2: The Heavy&#039;s voice actor, Gary Schwartz, voices the Demoman as well ",TRUE,CSV128
boolean,medium,Entertainment: Video Games,"During pre-production of &quot;Super Mario Bros.&quot;, Mario originally was meant to shoot bullets.",TRUE,CSV129
boolean,easy,Entertainment: Video Games,The song &quot;Megalovania&quot; by Toby Fox made its third appearence in the 2015 RPG &quot;Undertale&quot;.,TRUE,CSV130
boolean,easy,Entertainment: Video Games,The ultimate phrase used by Pharah from Overwatch is: &quot;Justice rains from above!&quot;,TRUE,CSV131
boolean,easy,Entertainment: Video Games,"In Sonic the Hedgehog universe, Tails&#039; real name is Miles Prower.",TRUE,CSV132
boolean,easy,Entertainment: Video Games,The game &quot;Pocket Morty&quot; has a Morty called &quot;Pocket Mortys Morty&quot;?,TRUE,CSV133
boolean,easy,Entertainment: Video Games,There are 6 legendary cards in &quot;Clash Royale&quot;.,FALSE,CSV134
boolean,easy,Entertainment: Video Games,"In &quot;Super Mario 64&quot;, collecting 100 coins on a level will give you a 1-UP.",FALSE,CSV135
boolean,easy,Entertainment: Video Games,"In &quot;Super Mario 3D World&quot;, the Double Cherry power-up originated from a developer accidentally making two characters controllable.",TRUE,CSV136
boolean,easy,Entertainment: Video Games,The names of Tom Nook&#039;s cousins in the Animal Crossing franchise are named &quot;Timmy&quot; and &quot;Jimmy&quot;.,FALSE,CSV137
boolean,medium,Entertainment: Video Games,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,TRUE,CSV138
boolean,easy,Entertainment: Video Games,Luigi is taller than Mario?,TRUE,CSV139
boolean,easy,Entertainment: Video Games,"In the video game &quot;Splatoon&quot;, the playable characters were originally going to be rabbits instead of squids.",TRUE,CSV140
boolean,hard,Entertainment: Video Games,Unturned originally started as a Roblox game.,TRUE,CSV141
boolean,easy,Entertainment: Video Games,"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",TRUE,CSV142
boolean,medium,Entertainment: Video Games,"In &quot;Overwatch,&quot; an allied McCree will say &quot;Step right up&quot; upon using his ultimate ability Deadeye.",TRUE,CSV143
boolean,easy,Entertainment: Video Games,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",FALSE,CSV144
boolean,easy,Entertainment: Video Games,"In &quot;Undertale&quot;, the main character of the game is Sans.",FALSE,CSV145
boolean,hard,Entertainment: Video Games,"In &quot;Call Of Duty: World At War&quot;, the first appearance of the &quot;PPSH-41&quot; in &quot;Zombies&quot; was in the map &quot;Der Riese&quot;.",FALSE,CSV146
boolean,easy,Entertainment: Video Games,The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.,FALSE,CSV147
boolean,easy,Entertainment: Video Games,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",FALSE,CSV148
boolean,hard,Entertainment: Video Games,"In Undertale, having a &quot;Fun Value&quot; set to 56-57 will play the &quot;Wrong Number Song Call&quot;.",FALSE,CSV149
boolean,hard,Entertainment: Video Games,"All of these maps were in &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; on its initial release: House, Clubhouse, Border, Consulate.",FALSE,CSV150
boolean,medium,Entertainment: Video Games,Pistons were added to Minecraft in Beta 1.5.,FALSE,CSV151
boolean,easy,Entertainment: Video Games,Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series&#039; history.,TRUE,CSV152
boolean,medium,Entertainment: Video Games,The ADAM collecters in the Bioshock series are known as Little Sisters.,TRUE,CSV153
boolean,medium,Entertainment: Video Games,"In the game &quot;Subnautica&quot;, a &quot;Cave Crawler&quot; will attack you.",TRUE,CSV154
boolean,medium,Entertainment: Video Games,"In &quot;Starbound&quot;, the track played by the Decorated Music Box is named &quot;Atlas&quot;.",TRUE,CSV155
boolean,easy,Entertainment: Video Games,"In Pok&eacute;mon Sun and Moon, a male Salandit can evolve to a Salazzle.",FALSE,CSV156
boolean,easy,Entertainment: Video Games,"In &quot;Sonic Adventure&quot;, you are able to transform into Super Sonic at will after completing the main story.",FALSE,CSV157
boolean,easy,Entertainment: Video Games,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",FALSE,CSV158
boolean,easy,Entertainment: Video Games,The main character in the &quot;Half-Life&quot; franchise is named Morgan Freeman.,FALSE,CSV159
boolean,easy,Entertainment: Video Games,&quot;Resident Evil 7&quot; is the first first-person Resident Evil game.,FALSE,CSV160
boolean,medium,Science &amp; Nature,&quot;Tachycardia&quot; or &quot;Tachyarrhythmia&quot; refers to a resting heart-rate near or over 100 BPM.,TRUE,CSV161
boolean,medium,Science &amp; Nature,The planet Mars has two moons orbiting it.,TRUE,CSV162
boolean,medium,Science &amp; Nature,Type 1 diabetes is a result of the liver working improperly.,FALSE,CSV163
boolean,medium,Science &amp; Nature,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,TRUE,CSV164
boolean,medium,Science &amp; Nature,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,TRUE,CSV165
boolean,medium,Science &amp; Nature,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",TRUE,CSV166
boolean,easy,Science &amp; Nature,Igneous rocks are formed by excessive heat and pressure.,FALSE,CSV167
boolean,easy,Science &amp; Nature,"Water always boils at 100&deg;C, 212&deg;F, 373.15K, no matter where you are.",FALSE,CSV168
boolean,medium,Science &amp; Nature,A person can get sunburned on a cloudy day.,TRUE,CSV169
boolean,medium,Science &amp; Nature,The &quot;Gympie Stinger&quot; is the deadliest plant in the world.,FALSE,CSV170
boolean,hard,Science &amp; Nature,The value of one Calorie is different than the value of one calorie.,TRUE,CSV171
boolean,medium,Science &amp; Nature,"In the periodic table, Potassium&#039;s symbol is the letter K.",TRUE,CSV172
boolean,hard,Science &amp; Nature,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,TRUE,CSV173
boolean,medium,Science &amp; Nature,"Scientists accidentally killed the once known world&#039;s oldest living creature, a mollusc, known to be aged as 507 years old.",TRUE,CSV174
boolean,medium,Science &amp; Nature,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,FALSE,CSV175
boolean,medium,Science &amp; Nature,Steel is an alloy of Iron and Carbon.,TRUE,CSV176
boolean,easy,Science &amp; Nature,An atom contains a nucleus.,TRUE,CSV177
boolean,medium,Science &amp; Nature,The Doppler effect applies to light.,TRUE,CSV178
boolean,easy,Science &amp; Nature,A plant that has a life cycle for more than a year is known as an annual.,FALSE,CSV179
boolean,easy,Science &amp; Nature,An Astronomical Unit is the distance between Earth and the Moon.,FALSE,CSV180
boolean,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,FALSE,CSV181
boolean,easy,Science: Computers,&quot;HTML&quot; stands for Hypertext Markup Language.,TRUE,CSV182
boolean,medium,Science: Computers,FLAC stands for &quot;Free Lossless Audio Condenser&quot;&#039;,FALSE,CSV183
boolean,easy,Science: Computers,Linux was first created as an alternative to Windows XP.,FALSE,CSV184
boolean,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,TRUE,CSV185
boolean,medium,Science: Computers,The common software-programming acronym &quot;I18N&quot; comes from the term &quot;Interlocalization&quot;.,FALSE,CSV186
boolean,medium,Science: Computers,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,FALSE,CSV187
boolean,hard,Science: Computers,DHCP stands for Dynamic Host Configuration Port.,FALSE,CSV188
boolean,medium,Science: Computers,The very first recorded computer &quot;bug&quot; was a moth found inside a Harvard Mark II computer.,TRUE,CSV189
boolean,easy,Science: Computers,Pointers were not used in the original C programming language; they were added later on in C++.,FALSE,CSV190
boolean,easy,Science: Computers,The Windows ME operating system was released in the year 2000.,TRUE,CSV191
boolean,easy,Science: Computers,RAM stands for Random Access Memory.,TRUE,CSV192
boolean,medium,Science: Computers,A Boolean value of &quot;0&quot; represents which of these words?,FALSE,CSV193
boolean,medium,Science: Computers,It&#039;s not possible to format a write-protected DVD-R Hard Disk.,TRUE,CSV194
boolean,easy,Science: Computers,The Python programming language gets its name from the British comedy group &quot;Monty Python.&quot;,TRUE,CSV195
boolean,easy,Science: Computers,Linus Torvalds created Linux and Git.,TRUE,CSV196
boolean,medium,Science: Computers,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",FALSE,CSV197
boolean,medium,Science: Computers,The HTML5 standard was published in 2014.,TRUE,CSV198
boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,FALSE,CSV199
boolean,easy,Science: Computers,The Windows 7 operating system has six main editions.,TRUE,CSV200
boolean,easy,Geography,Tokyo is the capital of Japan.,TRUE,CSV201
boolean,medium,Geography,Antarctica is the largest desert in the world.,TRUE,CSV202
boolean,medium,Geography,The Sonoran Desert is located in eastern Africa.,FALSE,CSV203
boolean,medium,Geography,The capital of the US State Ohio is the city of Chillicothe.,FALSE,CSV204
boolean,medium,Geography,Is Tartu the capital of Estonia?,FALSE,CSV205
boolean,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon. ,TRUE,CSV206
boolean,easy,Geography,Greenland is covered with grass and Iceland covered with ice.,FALSE,CSV207
boolean,easy,Geography,Nova Scotia is on the east coast of Canada.,TRUE,CSV208
boolean,easy,Geography,There are no deserts in Europe.,TRUE,CSV209
boolean,easy,Geography,"Rhode Island is actually located on the US mainland, despite its name.",TRUE,CSV210
boolean,easy,Geography,California is larger than Japan.,TRUE,CSV211
boolean,easy,Geography,St. Louis is the capital of the US State Missouri.,FALSE,CSV212
boolean,medium,Geography,The Southeast Asian island of Borneo is politically divided among 3 countries.,TRUE,CSV213
boolean,easy,Geography,New Haven is the capital city of the state of Connecticut in the United States.,FALSE,CSV214
boolean,hard,Geography,"Switzerland has four national languages, English being one of them.",FALSE,CSV215
boolean,easy,Geography,Vatican City is a country.,TRUE,CSV216
boolean,medium,Geography,Gothenburg is the capital of Sweden.,FALSE,CSV217
boolean,easy,Geography,Hungary is the only country in the world beginning with H.,FALSE,CSV218
boolean,medium,Geography,There exists an island named &quot;Java&quot;.,TRUE,CSV219
boolean,medium,Geography,Japan has left-hand side traffic.,TRUE,CSV220
boolean,easy,Geography,Alaska is the largest state in the United States.,TRUE,CSV221
boolean,easy,Geography,San Marino is the only country completely surrounded by another country.,FALSE,CSV222
boolean,medium,Geography,"The title of the 1969 film &quot;Krakatoa, East_of Java&quot; is incorrect, as Krakatoa is in fact west of Java.",TRUE,CSV223
boolean,medium,Geography,&quot;Mongolia&quot; was a part of the now non-existent U.S.S.R.,FALSE,CSV224
boolean,medium,Geography,You could walk from Norway to North Korea while only passing through Russia.,TRUE,CSV225
boolean,easy,Geography,A group of islands is called an &#039;archipelago&#039;.,TRUE,CSV226
boolean,medium,Geography,Seoul is the capital of North Korea.,FALSE,CSV227
boolean,medium,Geography,Liechtenstein does not have an airport.,TRUE,CSV228
boolean,easy,Geography,Ottawa is the capital of Canada.,TRUE,CSV229
boolean,easy,Geography,"There is an island in Japan called Ōkunoshima, A.K.A. &quot;Rabbit Island&quot;, so named because of it&#039;s huge population of rabbits.",TRUE,CSV230
boolean,medium,Geography,"There are no roads in/out of Juneau, Alaska.",TRUE,CSV231
boolean,medium,Geography,The flag of South Africa features 7 colours.,FALSE,CSV232
boolean,easy,Geography,Greenland is almost as big as Africa.,FALSE,CSV233
boolean,easy,Geography,Toronto is the capital city of the North American country of Canada.,FALSE,CSV234
boolean,medium,Geography,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",TRUE,CSV235
boolean,medium,Geography,Vietnam is the only country in the world that starts with V. ,FALSE,CSV236
boolean,easy,Geography,The Republic of Malta is the smallest microstate worldwide.,FALSE,CSV237
boolean,medium,Geography,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,TRUE,CSV238
boolean,hard,Geography,Only one country in the world starts with the letter Q.,TRUE,CSV239
boolean,easy,Geography,There is a city called Rome in every continent on Earth.,FALSE,CSV240
boolean,hard,History,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,TRUE,CSV241
boolean,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",FALSE,CSV242
boolean,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,TRUE,CSV243
boolean,hard,History,Japan was part of the Allied Powers during World War I.,TRUE,CSV244
boolean,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",TRUE,CSV245
boolean,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,FALSE,CSV246
boolean,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,TRUE,CSV247
boolean,easy,History,Adolf Hitler was tried at the Nuremberg trials.,FALSE,CSV248
boolean,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",TRUE,CSV249
boolean,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,TRUE,CSV250
